ICAO, Registration, Model, Aircraft Type
a6837d,N519GJ,CRJ7,L2J
a61584,N491TM,BE40,L2J
c0868a,C-GYYR,DH8D,L2T
3c4a8b,D-ABTK,B744,L4J
39cf05,F-HTYF,A359,L2J
c07244,C-GRHB,C208,L1T
aa3417,N757AN,B772,L2J
aa6ccb,N771AN,B772,L2J
c05067,C-GELQ,B38M,L2J
4078b8,G-XWBE,A35K,L2J
a9d640,N733AR,B77W,L2J
a7fbb3,N613UP,B748,L4J
c078ff,C-GTVI,C172,L1P
407944,G-XWBH,A35K,L2J
c05197,C-GEXI,A320,L2J
c030a6,C-FSKZ,B38M,L2J
c00cd6,C-FEWJ,B38M,L2J
896353,A6-ETP,B77W,L2J
3949eb,F-GSPL,B772,L2J
4007fb,G-YMMP,B772,L2J
ae145e,06-6160,C17,L4J
346456,EC-NJM,A359,L2J
406d78,G-ZBKB,B789,L2J
4d0114,LX-VCK,B748,L4J
346605,EC-NNH,A332,L2J
4851ad,PH-BHA,B789,L2J
c07c26,C-GVAJ,B752,L2J
a2a2df,N26902,B788,L2J
ac34a0,N886FD,B77L,L2J
c05e62,C-GJTH,A321,L2J
a16195,N1886G,GLEX,L2J
3c458f,D-AALO,B77L,L2J
780a6f,B-LJL,B748,L4J
a9c508,N729AN,B77W,L2J
a1fcc5,N227UA,B772,L2J
407898,G-ZBLA,B78X,L2J
868056,JA738J,B77W,L2J
8695a4,JA797A,B77W,L2J
3462c8,EC-NEN,A332,L2J
ad6b0e,N964AM,B788,L2J
a82e57,N626UP,B748,L4J
a645b4,N503GJ,CRJ7,L2J
495305,CS-TXE,A21N,L2J
a00012,N1AR,GLEX,L2J
0d0022,XA-JOY,B738,L2J
39d2a2,F-HUVC,A359,L2J
39cf10,F-HTYQ,A359,L2J
a8bc71,N662JB,A320,L2J
3c4b2d,D-ABYM,B748,L4J
c00122,C-FALD,PC12,L1T
c04583,C-GAIK,C25M,L2J
a57af9,N452QS,E55P,L2J
a80a97,N617UX,E75L,No
c03a56,C-FWCJ,LA4,No
a12ee7,N17557,B39M,L2J
c03cb0,C-FWZN,BE33,L1P
a6c247,N53441,B739,L2J
780a5b,B-KQK,B77W,L2J
a83782,N62884,B739,L2J
ac2a33,N883NN,B738,L2J
c05574,C-GGJJ,SR22,L1P
aa1dcd,N751AN,B772,L2J
c05ea6,C-GJVX,A321,L2J
c07721,C-GTCY,A321,L2J
c03c02,C-FWSV,B737,L2J
a390ed,N329NB,A319,L2J
c04052,C-FYJH,A319,L2J
c04b57,C-GCNU,B733,L2J
c05220,C-GFCP,A320,L2J
c05f08,C-GJZR,DH8D,L2T
c060b8,C-GKQH,DH8D,L2T
c01d7e,C-FLEJ,B38M,L2J
c052e0,C-GFJZ,CRJ9,L2J
c04a77,C-GCFE,C182,L1P
c0638f,C-GLSG,PA46,L1P
c060b5,C-GKQE,DH8D,L2T
c07d20,C-GVJZ,DH8D,L2T
c0636c,C-GLQX,DH8D,L2T
c010e4,C-FGKH,A320,L2J
c05f0f,C-GJZY,DH8D,L2T
c025a8,C-FOGT,CL60,L2J
394a15,F-GSQV,B77W,L2J
c0635e,C-GLQJ,DH8D,L2T
3c64ef,D-AIGO,A343,L4J
c0671b,C-GNBE,BCS3,L2J
c08853,C-GZQG,E295,No
c00e6c,C-FFLZ,B38M,L2J
c017d7,C-FJAS,E545,No
c050c0,C-GEPB,B38M,L2J
4d2372,9H-TQP,A332,L2J
c055c1,C-GGMI,DH8D,L2T
c08565,C-GYNK,A139,No
c0665a,C-GMTT,BE24,No
c060c0,C-GKQP,E295,No
abd3cf,N861NW,A332,L2J
c0248b,C-FNVU,A320,L2J
c06c56,C-GPAR,DH8C,L2T
c060b3,C-GKQC,DH8D,L2T
c05ed8,C-GJXV,BCS3,L2J
c0636e,C-GLQZ,DH8D,L2T
a6496b,N504GJ,CRJ7,L2J
a6f9fa,N549GJ,CRJ7,L2J
c080dc,C-GWUT,BCS3,L2J
c060c2,C-GKQR,E295,No
896327,A6-ETJ,B77W,L2J
aa6533,N769YX,E75L,No
c0635b,C-GLQG,DH8D,L2T
c05ef7,C-GJZA,DH8D,L2T
c060b9,C-GKQI,DH8D,L2T
c0174d,C-FIVK,B77L,L2J
a2ca5f,N27903,B788,L2J
c06359,C-GLQE,DH8D,L2T
c04fd7,C-GEGC,A333,L2J
a9acb8,N722TW,B752,L2J
484443,PH-AOD,A332,L2J
c06a7d,C-GOIM,A21N,L2J
c07e33,C-GVUO,BCS3,L2J
c06417,C-GLXM,GLEX,L2J
c023c5,C-FNOE,B789,L2J
c00821,C-FDCA,A320,L2J
c05ea2,C-GJVT,A320,L2J
c02cf1,C-FRAM,B77W,L2J
c050c5,C-GEPG,B38M,L2J
